,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
0,2nd,83.44%,1380,Elementary School,FY14,842.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,198454.0,7.0,8.1,0.0,16.1,11.0,1.2,0.6,0.0,2.0,1.0,8.0,32272.0,0.0,30.2,6.0,60.0,
1,4th,79.34%,4370,Elementary School,FY14,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71567.0,2.0,4.8,0.0,6.8,0.0,1.0,0.2,0.0,1.0,1.0,2.0,6343.0,0.0,11.8,2.0,19.0,
2,8th,54.18%,5070,High School,FY14,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55598.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,1.0,2.0,76173.0,0.0,12.6,1.0,18.9,
3,3rd,84.48%,1260,K‐8 School,FY14,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207506.0,0.0,7.6,0.0,7.6,3.0,1.0,0.4,0.0,1.0,1.0,3.0,27663.0,0.0,19.8,3.0,32.2,
4,7th,86.01%,5420,K‐8 School,FY14,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126627.0,2.0,7.0,0.0,9.0,0.0,0.9,0.4,0.0,1.0,1.0,5.0,8127.0,0.0,22.3,3.0,33.6,
5,5th,19.97%,2140,Middle Secondary,FY14,1179.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,30478.0,0.0,1.5,0.0,2.3,4.0,2.0,1.3,1.0,2.0,2.2,2.0,27159.0,0.0,53.5,2.0,70.0,
6,9th,73.92%,6350,K‐8 School,FY14,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60008.0,0.0,4.8,0.0,4.8,5.0,0.5,0.4,0.0,1.0,1.0,3.0,25961.0,3.0,15.4,6.0,35.2,
7,1st,61.82%,2510,K‐8 School,FY14,458.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,84350.0,3.0,3.3,0.0,7.5,4.0,0.5,0.3,0.0,1.0,1.0,4.0,13180.0,0.0,21.0,4.0,35.8,
8,9th,73.64%,7400,K‐8 School,FY14,861.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,96764.0,4.0,5.7,0.0,10.1,4.0,1.4,1.0,0.0,2.0,1.0,8.0,46170.0,0.0,36.1,7.0,60.5,
9,4th,69.79%,1030,High School,FY14,695.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100103.0,0.0,3.2,0.0,9.2,7.0,1.0,1.0,0.0,2.0,1.0,5.0,162534.0,1.0,28.3,11.0,57.3,
10,3rd,81.08%,1460,K‐8 School,FY14,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208208.0,0.0,4.8,0.0,4.8,4.0,1.0,1.0,0.0,1.0,1.0,6.0,10768.0,2.0,21.4,3.0,40.4,
11,3rd,74.72%,1580,Middle School,FY14,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51597.0,0.0,0.1,0.0,0.1,6.0,1.0,0.2,0.0,1.0,1.0,2.0,12712.0,0.0,14.2,2.0,27.4,
12,5th,89.54%,4570,K‐8 School,FY14,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148881.0,7.0,3.8,0.0,10.8,4.0,1.0,0.3,0.0,1.0,1.0,3.0,22126.0,0.0,17.0,5.0,32.2,
13,6th,75.02%,8340,Elementary School,FY14,1318.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,190824.0,0.0,7.1,0.0,7.5,17.0,2.4,1.4,0.0,2.0,1.0,9.0,46992.0,0.0,53.3,10.0,96.1,
14,7th,81.37%,7200,Elementary School,FY14,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225390.0,0.0,13.6,0.0,13.6,9.0,1.4,1.0,0.0,1.0,1.0,6.0,29692.0,1.0,29.4,4.0,53.8,
15,5th,87.07%,7510,K‐8 School,FY14,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175268.0,0.0,9.1,0.0,9.1,2.0,1.2,1.0,0.0,1.0,1.0,5.0,28596.0,0.0,28.8,3.0,43.0,
16,3rd,46.89%,2050,Middle School,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,7th,87.96%,5530,Elementary School,FY14,736.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,257921.0,2.0,9.7,0.0,12.7,4.0,1.4,0.6,0.0,2.0,1.0,8.0,18110.0,0.0,27.9,6.0,50.9,
18,5th,79.44%,5160,Middle Secondary,FY14,609.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,695549.0,0.0,4.9,0.0,7.4,9.0,1.0,0.6,0.0,1.0,1.0,2.0,109440.0,0.0,27.6,11.0,53.2,
19,8th,85.69%,4380,Elementary School,FY14,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193627.0,4.0,4.7,0.0,8.7,2.0,1.0,0.6,0.0,1.0,1.0,3.0,23221.0,0.0,15.5,4.0,28.1,
20,3rd,83.60%,1370,K‐8 School,FY14,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191018.0,3.0,7.1,0.0,10.1,2.0,1.0,0.6,0.0,1.0,1.0,4.0,41981.0,0.0,23.5,4.0,37.1,
21,3rd,85.16%,1290,K‐8 School,FY14,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75390.0,3.0,4.2,0.0,7.2,9.0,1.0,0.5,0.0,1.0,1.0,3.0,31925.0,0.0,23.5,7.0,46.0,
22,5th,59.57%,5080,High School,FY14,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107797.0,0.0,2.0,0.0,2.0,0.0,1.0,0.5,0.0,1.0,1.0,6.0,70342.0,1.0,22.8,1.0,34.3,
23,5th,32.05%,2650,High School,FY14,601.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30938.0,0.0,5.6,0.0,7.6,2.0,2.0,0.4,0.0,1.0,1.0,1.0,22612.0,0.0,24.6,2.0,34.0,
24,8th,64.13%,6440,K‐8 School,FY14,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75257.0,0.0,2.2,0.0,2.2,0.0,1.0,1.0,0.0,1.0,1.0,3.0,23546.0,0.0,19.9,3.0,29.9,
25,8th,41.79%,6010,High School,FY14,2311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40136.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0,4.0,35876.0,0.0,95.0,0.0,109.0,
26,7th,80.32%,7310,Elementary School,FY14,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92295.0,3.0,3.8,0.0,6.8,8.0,0.9,0.5,0.0,1.0,1.0,6.0,12827.0,0.0,28.9,6.0,52.3,
27,5th,42.81%,4030,Middle Secondary,FY14,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88374.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.0,1.0,1.0,3.0,58471.0,0.0,32.4,1.0,42.1,
28,6th,74.75%,8250,Elementary School,FY14,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185587.0,0.0,6.8,0.0,6.8,1.0,1.2,1.2,0.0,2.0,1.0,9.0,32956.0,0.0,39.3,7.0,61.7,
29,3rd,84.11%,1490,K‐8 School,FY14,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156867.0,10.0,4.2,0.0,14.2,5.0,1.0,0.5,0.0,1.0,1.0,5.0,67051.0,0.0,19.9,6.0,39.3,
30,7th,86.46%,5680,K‐8 School,FY14,709.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,158737.0,5.0,6.8,0.0,12.8,15.0,1.0,1.0,0.0,2.0,1.0,1.0,7614.0,2.0,32.0,11.0,66.0,
31,5th,87.35%,4460,K‐8 School,FY14,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117766.0,2.0,8.5,0.0,10.5,0.0,1.0,0.5,0.0,1.0,1.0,3.0,89163.0,1.0,21.7,3.0,32.2,
32,7th,84.13%,5330,K‐8 School,FY14,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115165.0,4.0,5.6,0.0,9.6,10.0,0.7,1.0,0.0,1.0,1.0,5.0,5122.0,0.0,22.9,8.0,49.6,
33,4th,71.70%,6320,K‐8 School,FY14,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109543.0,0.0,5.2,0.0,5.2,0.0,0.5,1.0,0.0,1.0,1.0,1.0,18567.0,0.0,14.0,2.0,20.5,
34,2nd,60.69%,2480,K‐8 School,FY14,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56375.0,0.0,3.3,0.0,3.3,5.0,1.0,0.4,0.0,1.0,1.0,1.0,17791.0,0.0,14.2,6.0,29.6,
35,6th,61.93%,7470,K‐8 School,FY14,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87930.0,1.0,4.2,0.0,5.2,4.0,1.0,0.3,0.0,1.0,1.0,3.0,25394.0,0.0,18.2,5.0,33.5,
36,10th,49.90%,8160,Middle School,FY14,1238.0,4.0,0.4,0.0,0.0,0.0,0.0,0.0,102152.0,1.0,0.2,0.0,5.6,10.0,1.2,1.2,0.0,2.0,1.0,7.0,50103.0,0.0,55.8,12.0,90.2,
37,3rd,85.74%,4300,K‐8 School,FY14,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181191.0,2.0,3.8,0.0,5.8,9.0,1.0,1.0,0.0,1.0,1.0,5.0,68299.0,0.0,20.6,5.0,43.6,
38,9th,72.94%,7270,K‐8 School,FY14,850.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,109212.0,3.0,5.9,0.0,9.3,1.0,1.2,1.0,0.0,1.0,1.0,5.0,55420.0,2.0,34.2,5.0,51.4,
39,4th,71.67%,6090,High School,FY14,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201475.0,0.0,2.0,0.0,2.0,0.0,1.0,0.8,1.0,2.0,1.0,4.0,75277.0,0.0,30.9,4.0,44.7,
40,8th,83.10%,7390,K‐8 School,FY14,678.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,97582.0,6.0,6.4,0.0,13.2,6.0,1.4,1.0,1.0,1.0,1.0,5.0,23915.0,0.0,30.0,7.0,53.4,
41,5th,82.80%,5250,K‐8 School,FY14,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31809.0,2.0,3.5,0.0,5.5,5.0,2.0,0.4,0.0,1.0,1.0,1.0,78366.0,0.0,13.7,4.0,28.1,
42,3rd,86.92%,1410,K‐8 School,FY14,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170026.0,7.0,7.2,0.0,14.2,8.0,1.0,0.5,0.0,1.0,1.0,4.0,33689.0,2.0,23.2,4.0,44.7,
43,3rd,81.20%,1300,K‐8 School,FY14,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96091.0,9.0,5.8,0.0,14.8,3.0,0.5,0.4,0.0,1.0,1.0,3.0,54627.0,2.0,20.4,6.0,37.3,
44,10th,46.87%,8420,K‐8 School,FY14,1035.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112392.0,2.0,4.7,0.0,7.7,13.0,1.0,1.0,0.0,2.0,1.0,7.0,31854.0,0.0,41.5,10.0,76.5,
45,8th,75.35%,7130,Middle School,FY14,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70323.0,0.0,2.5,0.0,2.5,3.0,0.5,0.6,0.0,2.0,1.0,6.0,59049.0,0.0,22.8,7.0,42.9,
46,1st,65.14%,2590,K‐8 School,FY14,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33587.0,0.0,2.5,0.0,2.5,12.0,1.1,0.3,0.0,1.0,1.0,6.0,28333.0,0.0,15.9,6.0,43.2,
47,2nd,17.07%,2470,K‐8 School,FY14,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174791.0,5.0,3.8,0.0,8.8,20.0,1.0,0.6,0.0,1.0,1.0,3.0,52928.0,0.0,23.9,6.0,56.5,
48,2nd,40.49%,2020,High School,FY14,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15041.0,0.0,0.6,0.0,0.6,4.0,1.0,0.6,0.0,1.0,1.0,5.0,32160.0,1.0,30.0,3.0,46.6,
49,8th,72.15%,6230,K‐8 School,FY14,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32893.0,0.0,1.2,0.0,1.2,2.0,1.0,0.2,0.0,1.0,1.0,2.0,4949.0,0.0,13.6,1.0,21.8,
50,5th,80.76%,5340,K‐8 School,FY14,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74108.0,0.0,4.8,0.0,4.8,5.0,0.5,0.3,0.0,1.0,1.0,4.0,16522.0,1.0,13.8,7.0,33.5,
51,2nd,55.90%,2620,High School,FY14,817.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60554.0,2.0,0.0,0.0,4.0,1.0,1.0,0.6,0.0,1.0,1.0,3.0,60816.0,0.0,34.4,3.0,45.0,
52,9th,75.99%,7280,K‐8 School,FY14,1005.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,109631.0,2.0,5.3,0.0,7.5,2.0,1.4,1.2,0.0,2.0,1.0,8.0,47981.0,0.0,39.1,6.0,60.7,
53,8th,73.69%,6060,High School,FY14,1107.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,160239.0,0.0,5.7,0.0,16.7,16.0,3.0,1.2,1.0,3.0,1.0,12.0,254349.0,0.0,43.5,23.0,103.7,
54,5th,85.62%,2390,K‐8 School,FY14,552.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,253530.0,0.0,5.4,0.0,7.4,10.0,1.0,0.4,0.0,1.0,1.0,3.0,99438.0,0.0,21.6,5.0,43.0,
55,7th,87.75%,7730,Middle School,FY14,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70701.0,4.0,2.0,0.0,6.0,6.0,2.0,1.0,0.0,1.0,1.0,2.0,197775.0,2.0,25.4,9.0,49.4,
56,4th,73.53%,4020,High School,FY14,975.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,120441.0,0.0,4.0,0.0,7.0,5.0,2.0,1.2,0.0,2.0,1.0,7.0,11691.0,0.0,37.8,12.0,68.0,
57,6th,75.58%,8240,K‐8 School,FY14,854.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,197936.0,3.0,6.0,0.0,10.4,0.0,1.2,1.0,0.0,2.0,1.0,6.0,33151.0,4.0,33.7,9.0,58.0,
58,5th,86.68%,4470,Elementary School,FY14,376.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,76889.0,1.0,5.0,0.0,6.6,7.0,1.0,0.3,0.0,1.0,1.0,4.0,73282.0,0.0,14.6,6.0,34.9,
59,2nd,78.27%,1130,Middle School,FY14,678.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,103781.0,0.0,3.2,0.0,3.4,5.0,1.0,0.6,0.0,1.0,1.0,8.0,54924.0,0.0,29.5,6.0,52.1,
60,5th,87.52%,5320,K‐8 School,FY14,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135309.0,0.0,8.2,0.0,8.2,9.0,1.0,0.4,0.0,1.0,1.0,6.0,65235.0,0.0,24.1,6.0,48.5,
61,1st,74.56%,2640,K‐8 School,FY14,564.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,83221.0,4.0,3.4,0.0,8.2,4.0,2.2,0.4,0.0,1.0,1.0,4.0,33431.0,0.0,30.1,4.0,46.7,
62,4th,53.16%,6450,K‐8 School,FY14,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55879.0,1.0,1.8,0.0,2.8,11.0,0.5,1.0,0.0,1.0,1.0,2.0,6737.0,0.0,13.7,6.0,36.2,
63,5th,61.17%,2210,K‐8 School,FY14,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119419.0,0.0,2.2,0.0,2.2,13.0,0.5,1.0,0.0,2.0,1.0,5.0,25261.0,0.0,19.1,9.0,50.6,
64,7th,80.40%,7300,K‐8 School,FY14,961.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,112198.0,0.0,9.9,0.0,10.4,6.0,1.6,1.2,0.0,2.0,1.0,8.0,42694.0,0.0,38.6,9.0,67.4,
65,7th,78.32%,5520,High School,FY14,447.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,98592.0,0.0,2.2,0.0,6.2,4.0,1.2,0.6,0.0,1.0,1.0,3.0,29208.0,0.0,19.7,7.0,37.5,
66,7th,83.65%,5170,K‐8 School,FY14,834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121273.0,4.0,9.6,0.0,13.6,7.0,1.0,1.0,0.0,2.0,1.0,9.0,62148.0,0.0,36.7,8.0,65.7,
67,3rd,83.60%,1360,K‐8 School,FY14,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80568.0,7.0,3.3,0.0,10.3,14.0,2.0,1.0,0.0,1.0,1.0,5.0,123293.0,0.0,20.7,9.0,53.7,
68,6th,67.78%,8010,High School,FY14,1579.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,110121.0,3.0,4.0,0.0,24.0,15.0,2.6,1.4,1.0,3.0,2.0,9.0,23958.0,0.0,73.6,27.0,134.6,
69,3rd,27.57%,1280,K‐8 School,FY14,554.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,248280.0,0.0,9.8,0.0,10.1,1.0,1.0,0.5,0.0,1.0,0.7,3.0,30256.0,0.0,22.8,2.0,32.0,
70,3rd,66.78%,5090,High School,FY14,317.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17706.0,0.0,0.4,0.0,2.4,1.0,1.0,0.2,0.0,1.0,1.0,2.0,37101.0,0.0,13.2,3.0,22.4,
71,5th,88.75%,4270,K‐8 School,FY14,467.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,152279.0,3.0,5.0,0.0,9.0,0.0,1.0,0.4,0.0,1.0,1.0,4.0,76777.0,0.0,18.8,3.0,29.2,
72,10th,59.82%,8440,Elementary School,FY14,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228448.0,0.0,4.6,0.0,4.6,14.0,2.0,1.2,0.0,1.0,1.0,4.0,45624.0,0.0,34.0,10.0,67.2,
73,7th,78.88%,7150,K‐8 School,FY14,1107.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,215422.0,4.0,8.1,0.0,12.3,3.0,1.2,1.0,0.0,2.0,1.0,6.0,47243.0,0.0,46.4,7.0,67.6,
74,7th,76.42%,7500,Middle School,FY14,596.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,136255.0,1.0,2.3,0.0,3.5,2.0,0.9,0.5,0.0,1.0,1.0,4.0,26881.0,0.0,28.0,8.0,45.4,
75,2nd,32.07%,2410,Middle Secondary,FY14,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35932.0,0.0,0.6,0.0,0.6,0.0,1.0,0.4,0.0,1.0,1.0,3.0,34136.0,0.0,23.0,2.0,31.4,
76,8th,46.15%,6250,K‐8 School,FY14,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77940.0,1.0,1.8,0.0,2.8,15.0,1.0,0.4,0.0,1.0,1.0,4.0,14691.0,0.0,20.8,6.0,49.2,
77,4th,49.10%,6540,High School,FY14,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61003.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,1.0,1.0,1.0,24803.0,1.0,13.4,1.0,20.7,
78,3rd,77.59%,1020,High School,FY14,660.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,291436.0,0.0,8.2,0.0,12.2,9.0,2.5,1.0,0.0,2.0,1.0,4.0,238232.0,0.0,31.1,12.0,62.6,
79,7th,72.84%,5230,Middle School,FY14,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63620.0,3.0,2.2,0.0,5.2,0.0,1.0,1.0,0.0,1.0,1.0,8.0,16653.0,0.0,29.0,1.0,42.0,
80,4th,57.35%,4480,K‐8 School,FY14,219.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,45575.0,0.0,0.9,0.0,1.5,8.0,1.0,0.6,0.0,1.0,1.0,3.0,23577.0,0.0,15.6,18.0,48.2,
81,7th,79.92%,5660,High School,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,3rd,86.80%,1470,K‐8 School,FY14,494.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,145963.0,3.0,5.0,0.0,8.5,4.0,1.2,0.4,0.0,1.0,1.0,3.0,28667.0,0.0,21.2,4.0,35.8,
83,5th,87.31%,4560,K‐8 School,FY14,442.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,357479.0,4.0,4.0,0.0,11.0,4.0,0.5,0.4,0.0,1.0,1.0,3.0,88685.0,0.0,19.0,5.0,33.9,
84,7th,75.09%,8350,K‐8 School,FY14,1358.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,203998.0,6.0,10.2,0.0,17.8,13.0,1.0,1.4,0.0,2.0,1.0,7.0,72003.0,1.0,52.1,10.0,88.5,
85,8th,85.84%,6340,Elementary School,FY14,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56331.0,4.0,2.8,0.0,7.8,2.0,0.5,0.4,0.0,1.0,1.0,5.0,23855.0,0.0,14.0,4.0,27.8,
