,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
57,6th,75.58%,8240,K‐8 School,FY18,904.0,0.0,0.1,0.0,0.0,0.0,0.0,4.0,106942.0,1.0,5.0,0.2,10.3,2.0,1.1,1.0,1.0,2.0,1.0,0.0,32864.0,4.0,37.2,3.8,53.1,
58,5th,86.68%,4470,Elementary School,FY18,353.0,0.0,1.9,0.0,1.0,0.0,0.0,3.0,35429.0,1.6,4.1,1.2,12.8,16.0,0.1,2.0,0.0,1.0,1.0,0.0,168329.0,2.5,14.5,6.8,43.9,
59,2nd,78.27%,1130,Middle School,FY18,380.0,0.0,1.0,0.0,0.8,0.0,0.0,1.0,20465.0,3.0,1.4,0.2,7.4,5.0,0.0,1.0,0.2,1.0,1.0,1.0,90888.0,3.0,19.3,5.8,37.3,
60,5th,87.52%,5320,K‐8 School,FY18,516.0,0.0,1.0,0.0,1.0,0.0,0.0,5.2,18825.0,0.0,4.6,0.0,11.7,14.0,0.0,1.0,2.0,1.0,1.0,0.9,167959.0,0.0,28.7,8.0,56.6,
61,1st,74.56%,2640,K‐8 School,FY18,794.0,0.0,1.4,0.0,1.0,0.0,0.0,0.0,239496.0,4.0,5.2,0.2,11.9,7.0,3.2,1.0,0.0,2.0,1.0,7.0,91949.0,1.0,41.7,4.8,68.6,
62,4th,53.16%,6450,K‐8 School,FY18,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18261.0,2.0,3.2,0.2,5.4,13.0,1.0,1.0,0.0,1.0,1.0,3.0,24274.0,0.0,12.0,6.8,38.8,
63,5th,61.17%,2210,K‐8 School,FY18,464.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,61088.0,3.0,3.4,0.2,9.7,27.0,4.1,2.3,0.0,2.0,1.0,4.0,210839.0,0.0,24.4,15.8,80.6,
64,7th,80.40%,7300,K‐8 School,FY18,915.0,0.0,2.4,0.0,1.0,0.6,0.0,0.0,3825.0,4.0,8.0,0.2,16.2,6.0,1.6,1.2,0.0,1.4,1.0,9.0,142484.0,4.0,41.2,7.8,73.2,
65,7th,78.32%,5520,High School,FY18,516.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,8167.0,0.0,3.7,0.2,5.4,13.0,1.7,1.0,1.0,2.0,1.0,2.0,58718.0,0.0,23.7,7.8,53.2,
66,7th,83.65%,5170,K‐8 School,FY18,903.0,0.0,0.8,0.0,0.0,0.0,0.0,11.0,23550.0,4.6,5.0,0.2,21.7,22.0,0.2,3.1,0.0,2.0,1.0,0.0,85230.0,1.4,41.0,10.8,81.4,
67,3rd,83.60%,1360,K‐8 School,FY18,388.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,244199.0,0.0,5.8,0.2,11.0,11.0,3.0,2.0,0.0,1.0,1.0,2.0,90594.0,4.0,19.3,5.8,49.0,
68,6th,67.78%,8010,High School,FY18,1672.0,0.0,4.1,0.0,1.0,0.4,0.0,4.0,39849.0,2.0,15.0,0.2,26.7,29.0,9.3,1.4,0.0,3.6,3.0,4.0,235439.0,0.0,73.7,25.8,149.8,
69,3rd,27.57%,1280,K‐8 School,FY18,578.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1264443.0,1.0,9.1,2.2,13.3,6.0,1.0,1.0,0.0,1.0,0.0,4.0,47659.0,0.0,26.0,0.8,39.8,
70,3rd,66.78%,5090,High School,FY18,315.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1942.0,0.0,1.6,0.2,3.5,4.0,1.0,0.5,0.0,1.0,1.0,0.3,88418.0,0.0,12.4,2.8,23.0,
71,5th,88.75%,4270,K‐8 School,FY18,529.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,65152.0,6.0,6.0,0.0,20.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,145639.0,0.0,21.0,5.0,31.0,
72,10th,59.82%,8440,Elementary School,FY18,859.0,0.0,1.6,0.0,0.0,0.0,0.0,4.5,6407.0,1.0,7.2,0.0,14.4,18.0,1.0,3.0,0.0,2.0,2.0,1.5,106309.0,1.0,36.8,11.0,76.2,
73,7th,78.88%,7150,K‐8 School,FY18,1114.0,0.0,1.6,0.0,0.0,0.0,0.0,2.4,42636.0,4.0,8.8,0.2,17.0,3.0,1.8,1.1,1.0,2.0,2.0,5.6,132439.0,0.0,47.6,5.8,69.9,
74,7th,76.42%,7500,Middle School,FY18,577.0,0.0,1.4,0.0,0.0,0.0,0.0,4.0,139140.0,1.0,2.2,1.2,9.8,9.0,0.6,1.0,0.0,1.0,1.0,0.0,148048.0,0.0,29.1,6.8,48.5,
75,2nd,32.07%,2410,Middle Secondary,FY18,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88218.0,0.0,0.5,0.2,0.7,0.0,1.5,1.0,0.4,1.0,1.0,4.0,36208.0,0.0,28.6,1.8,39.3,
76,8th,46.15%,6250,K‐8 School,FY18,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31894.0,0.0,4.0,0.2,4.2,16.0,1.0,1.0,0.0,1.0,1.0,5.0,67959.0,0.0,21.7,5.8,52.5,
77,4th,49.10%,6540,High School,FY18,344.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50802.0,0.0,0.0,0.2,3.2,4.0,1.0,1.0,0.0,1.0,1.0,0.0,100393.0,0.0,15.1,2.8,25.9,
78,3rd,77.59%,1020,High School,FY18,474.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,168813.0,0.0,4.3,0.2,8.5,17.0,2.0,1.0,0.0,2.0,1.0,2.0,57208.0,0.0,23.9,11.8,60.7,
79,7th,72.84%,5230,Middle School,FY18,409.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,4057.0,1.0,0.7,1.2,3.8,4.0,1.0,1.0,0.2,1.0,1.0,2.0,33648.0,1.0,19.7,0.8,31.6,
80,4th,57.35%,4480,K‐8 School,FY18,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.0,0.0,2.8,0.2,3.1,16.0,1.0,1.0,0.0,1.0,1.0,0.0,73606.0,0.0,13.4,9.8,43.1,
81,7th,79.92%,5660,High School,FY18,271.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5818.0,0.0,0.0,0.2,2.2,0.0,1.0,0.5,0.0,1.0,1.0,0.0,34383.0,0.0,14.0,1.8,19.3,
82,3rd,86.80%,1470,K‐8 School,FY18,450.0,0.0,0.2,0.0,1.0,1.0,0.0,0.0,75325.0,4.0,7.8,0.2,14.2,10.0,1.2,1.0,0.0,1.0,1.0,3.0,72424.0,0.0,20.4,5.8,43.4,
83,5th,87.31%,4560,K‐8 School,FY18,377.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,147053.0,5.0,4.2,0.2,11.4,9.0,1.0,1.0,0.0,1.0,1.0,0.0,99709.0,0.0,16.6,2.8,32.4,
84,7th,75.09%,8350,K‐8 School,FY18,1413.0,0.0,3.7,0.0,0.0,0.0,0.0,3.0,61496.0,10.0,6.8,0.2,23.7,17.0,4.5,3.6,1.0,2.0,2.0,4.0,103015.0,0.0,59.5,9.8,103.4,
85,8th,85.84%,6340,Elementary School,FY18,438.0,0.0,0.1,0.0,0.9,0.0,0.0,4.0,13041.0,4.0,7.2,0.2,16.4,2.0,1.0,1.0,0.0,1.0,1.0,2.0,75599.0,0.0,15.9,1.8,25.7,
86,3rd,62.01%,1390,Elementary School,FY18,269.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,29503.0,4.0,3.8,0.2,8.8,0.0,1.2,1.0,0.0,1.0,1.0,3.0,37101.0,0.0,10.4,2.8,20.4,
87,8th,88.51%,4360,K‐8 School,FY18,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4487.0,0.0,6.8,0.0,6.8,11.0,3.0,1.0,1.0,2.0,1.0,5.0,152854.0,1.0,20.9,8.0,53.9,
88,1st,80.63%,5060,High School,FY18,791.0,0.0,0.7,0.0,0.0,0.0,0.0,4.0,70396.0,0.0,7.0,0.2,11.9,0.0,1.1,1.0,1.0,2.0,1.0,0.0,113373.0,0.0,38.0,4.8,48.9,
89,4th,68.17%,4280,Elementary School,FY18,339.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,27778.0,5.0,6.2,0.2,12.1,13.0,0.4,1.0,0.0,1.0,1.0,8.0,66564.0,2.0,17.1,5.8,49.2,
90,6th,75.06%,5430,Middle School,FY18,444.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11697.0,0.0,0.1,0.2,2.4,3.0,0.0,1.0,0.0,1.0,1.0,6.0,84974.0,0.0,21.2,3.8,36.9,
91,1st,76.75%,2630,K‐8 School,FY18,546.0,0.0,0.7,0.0,0.0,0.0,0.0,4.0,36893.0,0.0,5.1,0.2,10.0,17.0,0.5,2.0,0.0,1.0,1.0,1.0,101359.0,1.0,23.1,10.8,57.4,
92,7th,84.89%,7290,K‐8 School,FY18,524.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,77292.0,10.0,6.8,0.2,19.2,4.0,0.2,1.0,0.0,1.0,1.0,4.0,69879.0,0.0,23.3,5.8,40.3,
93,2nd,80.86%,2260,K‐8 School,FY18,525.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,7137.0,0.0,4.2,0.2,5.4,12.0,1.8,2.0,0.0,1.0,1.0,5.0,35607.0,0.0,24.2,8.8,55.8,
94,1st,15.13%,2380,K‐8 School,FY18,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29083.0,2.5,4.6,1.2,8.3,5.0,1.0,1.0,0.0,1.0,1.0,5.0,49311.0,1.5,25.1,2.8,43.4,
95,9th,74.31%,7370,Middle School,FY18,547.0,0.0,0.2,0.0,0.0,0.0,0.0,3.0,121649.0,5.0,2.5,0.2,10.9,16.0,2.2,1.0,1.0,1.0,1.0,0.0,61778.0,0.0,26.3,7.8,56.3,
96,10th,64.49%,8230,Elementary School,FY18,360.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10716.0,0.0,2.4,0.2,7.6,5.0,1.0,1.0,0.0,1.0,1.0,0.0,18769.0,1.0,15.5,1.8,27.3,
97,1st,83.01%,5700,High School,FY18,589.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,38603.0,0.0,5.1,0.2,12.3,11.0,1.0,1.0,0.0,2.0,2.0,2.0,188403.0,0.0,31.3,9.8,60.0,
98,7th,85.71%,5350,K‐8 School,FY18,455.0,0.0,0.2,0.0,0.0,0.0,0.0,3.0,157927.0,3.0,4.8,0.2,11.2,13.0,1.2,1.0,0.0,1.0,1.0,3.0,43039.0,2.0,22.1,5.8,50.1,
99,9th,68.40%,7120,High School,FY18,979.0,0.0,2.3,0.0,0.0,0.0,0.0,9.0,55763.0,0.0,4.9,0.2,16.5,12.0,2.5,1.2,0.0,3.0,2.0,0.0,186786.0,0.0,45.7,12.8,79.2,
100,1st,75.45%,2580,K‐8 School,FY18,550.0,0.0,0.7,0.0,0.0,0.0,0.0,2.0,14362.0,1.0,3.6,0.2,7.6,9.0,2.1,1.0,0.0,1.0,1.0,2.0,98719.0,0.0,27.6,5.8,49.5,
101,8th,77.70%,7490,Elementary School,FY18,540.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,43078.0,12.0,5.8,1.2,21.0,18.0,1.0,1.0,0.0,1.0,1.0,7.0,43654.0,3.0,20.4,6.8,59.2,
102,8th,81.47%,6220,Elementary School,FY18,395.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,30269.0,4.0,5.8,0.2,11.4,10.0,0.6,2.0,0.0,1.0,1.0,3.0,100964.0,0.0,15.4,4.8,37.8,
103,1st,82.81%,5550,High School,FY18,424.0,0.0,2.4,0.0,1.0,0.0,0.0,3.0,162497.0,0.0,1.4,0.2,8.1,5.0,1.0,1.0,0.0,2.0,1.0,1.0,144580.0,0.0,20.2,5.8,37.0,
104,10th,26.69%,8430,K‐8 School,FY18,793.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,61200.0,1.0,5.2,1.2,8.5,17.0,1.1,1.0,0.0,2.0,1.0,6.0,74499.0,2.0,32.2,8.8,71.1,
105,3rd,69.26%,1050,High School,FY18,307.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12355.0,0.0,1.8,0.2,3.0,0.0,0.1,1.0,0.0,1.0,1.0,2.0,87858.0,1.0,13.4,1.8,21.2,
106,9th,77.85%,5610,High School,FY18,385.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8720.0,0.0,0.0,0.2,3.2,0.0,0.0,1.0,0.0,1.0,1.0,2.0,52163.0,0.0,21.2,2.8,29.0,
107,2nd,80.91%,1400,Elementary School,FY18,585.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34257.0,2.0,11.0,0.2,16.2,2.0,1.0,2.0,0.0,1.0,1.0,2.0,65069.0,3.0,21.9,2.8,36.7,
108,10th,49.06%,8770,K‐8 School,FY18,744.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,18924.0,0.0,4.2,0.2,5.1,26.0,13.0,2.6,0.0,2.3,2.0,6.0,105969.0,0.0,32.1,17.8,101.8,
109,5th,81.82%,4140,High School,FY18,303.0,0.0,0.8,0.0,0.2,1.0,0.0,3.0,133241.0,0.0,2.2,0.2,7.4,13.0,2.0,1.0,1.0,2.0,1.0,3.0,99105.0,0.0,12.0,6.8,41.8,
110,5th,61.38%,2290,High School,FY18,889.0,0.0,2.4,0.0,0.0,0.0,0.0,6.0,13512.0,0.0,0.5,0.2,9.1,2.0,1.0,1.0,0.0,2.0,1.0,0.0,245128.0,0.0,48.2,1.8,57.0,
111,9th,71.78%,7260,Elementary School,FY18,286.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,30389.0,0.0,3.4,0.2,9.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,54179.0,1.0,13.0,1.8,19.8,
112,7th,85.53%,7380,Elementary School,FY18,621.0,0.0,0.2,0.0,0.0,0.0,0.0,5.0,201972.0,11.0,6.8,0.2,23.3,2.0,1.4,1.0,0.0,2.0,1.0,5.0,101539.0,0.0,28.3,1.8,42.4,
113,2nd,86.23%,2370,K‐8 School,FY18,452.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,87476.0,4.0,3.4,0.2,19.6,6.0,0.0,2.0,1.0,3.0,2.0,1.0,202644.0,0.0,24.8,2.8,42.6,
114,1st,72.92%,2720,K‐8 School,FY18,367.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,6972.0,2.0,2.0,0.2,5.4,13.0,1.2,1.0,0.0,1.0,1.0,4.0,110184.0,2.0,21.4,7.8,52.4,
115,10th,54.97%,8090,High School,FY18,647.0,3.0,0.5,0.0,0.0,0.0,0.0,3.0,57069.0,0.0,5.1,0.0,11.6,6.0,0.7,1.0,0.0,1.0,1.0,0.0,94165.0,0.0,33.2,9.0,51.9,
116,4th,87.27%,1200,K‐8 School,FY18,652.0,0.0,0.0,0.0,1.2,1.0,0.0,2.2,397734.0,6.0,7.0,0.2,17.6,10.0,2.8,1.0,1.0,1.0,1.0,8.9,129443.0,0.0,31.1,5.8,62.6,
117,7th,88.57%,5440,Elementary School,FY18,738.0,0.0,1.3,0.0,0.0,0.0,0.0,0.4,11437.0,0.0,8.8,0.2,10.8,12.0,2.5,1.0,0.0,1.0,1.0,5.6,28234.0,0.0,29.0,4.8,56.9,
118,5th,84.12%,2490,K‐8 School,FY18,292.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,19807.0,1.0,5.8,1.2,8.4,6.0,0.7,1.0,1.0,1.0,1.0,3.0,97509.0,0.0,14.8,4.8,33.2,
119,7th,75.22%,7460,K‐8 School,FY18,546.0,0.0,1.1,0.0,0.0,0.0,0.0,2.0,25486.0,4.0,3.4,0.2,10.7,11.0,1.1,1.0,0.0,1.0,1.0,4.0,70844.0,2.0,24.8,7.8,53.7,
120,6th,78.27%,8200,K‐8 School,FY18,980.0,0.0,0.4,0.0,1.0,0.7,0.0,0.0,25033.0,4.0,5.2,0.2,11.5,7.0,1.6,1.2,0.0,2.3,1.0,5.0,148919.0,2.0,42.0,6.8,68.9,
121,5th,82.88%,4060,High School,FY18,613.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,26913.0,0.0,4.8,0.2,5.7,2.0,1.0,1.0,1.1,1.0,1.0,2.0,56641.0,0.0,30.4,4.8,44.3,
122,4th,48.20%,6410,K‐8 School,FY18,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7270.0,0.8,3.9,0.2,4.9,14.0,1.0,1.0,0.0,1.0,1.0,2.0,52054.0,0.2,19.5,6.8,46.5,
123,4th,57.14%,6040,High School,FY18,505.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3426.0,1.7,1.4,0.2,6.4,3.0,1.0,1.0,3.0,1.0,1.0,2.0,206023.0,0.3,25.6,2.8,40.6,
124,7th,84.69%,7360,Elementary School,FY18,393.0,0.0,0.0,0.0,1.0,1.0,0.0,3.6,175547.0,0.0,2.6,0.2,8.4,16.0,3.0,2.0,0.0,1.0,1.0,3.5,201374.0,0.0,22.9,6.8,56.1,
125,5th,84.09%,5560,K‐8 School,FY18,264.0,0.0,1.1,0.0,0.0,0.0,0.0,2.0,12198.0,2.0,3.7,0.2,9.0,0.0,0.1,1.0,0.2,1.0,1.0,1.0,143617.0,0.0,13.6,0.8,18.7,
126,10th,53.67%,8400,Elementary School,FY18,1326.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,21896.0,0.0,11.2,0.0,14.9,3.0,2.1,1.4,0.0,3.0,2.0,9.0,157235.0,2.0,50.6,5.0,78.1,
127,5th,82.40%,5480,K‐8 School,FY18,332.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9,4588.0,1.0,2.6,0.2,5.7,10.0,1.0,1.0,0.0,1.0,1.0,3.1,34102.0,0.0,16.6,4.8,38.5,
128,7th,80.96%,7110,Middle School,FY18,771.0,0.0,0.2,0.0,1.0,0.0,0.0,3.0,180845.0,0.0,3.4,0.2,7.8,16.0,1.2,1.0,0.0,3.0,1.0,9.0,292477.0,1.0,37.8,11.8,81.8,
129,2nd,78.76%,2450,K‐8 School,FY18,257.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11069.0,0.0,4.2,0.2,4.6,5.0,0.8,2.0,0.0,1.0,1.0,3.0,52556.0,0.0,11.9,2.8,27.5,
130,9th,63.97%,6210,K‐8 School,FY18,603.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,30505.0,0.0,3.0,0.2,8.2,7.0,0.0,1.0,1.0,1.0,1.0,4.0,51909.0,0.0,25.4,4.8,45.2,
131,1st,70.72%,2000,High School,FY18,572.0,0.0,1.7,0.0,1.0,1.0,0.0,3.0,77985.0,0.0,6.2,1.2,14.1,20.0,1.9,1.0,0.2,2.0,1.0,0.0,31862.0,0.0,29.2,14.8,70.1,
132,1st,44.20%,2340,K‐8 School,FY18,734.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,18607.0,0.0,4.6,0.2,6.5,8.0,2.0,1.0,0.0,1.0,1.0,5.0,115479.0,0.0,35.2,3.8,56.9,
133,5th,75.46%,5620,High School,FY18,289.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2620.0,0.0,0.0,0.2,1.2,0.0,0.1,1.0,1.0,1.0,1.0,2.0,40234.0,0.0,14.0,2.8,22.8,
134,9th,67.48%,8310,Elementary School,FY18,1209.0,0.0,1.6,0.0,0.0,0.0,0.0,12.0,30359.0,0.0,8.2,0.0,21.8,9.0,1.8,1.2,0.0,2.0,2.0,0.0,261995.0,2.0,48.2,9.0,75.2,
135,7th,86.13%,5390,K‐8 School,FY18,557.0,0.0,0.3,0.0,0.0,1.0,0.0,5.0,246028.0,0.0,7.7,0.2,14.3,1.0,2.5,1.0,0.0,1.0,1.0,2.0,63904.0,0.0,31.1,3.8,43.4,
136,8th,81.82%,6300,Elementary School,FY18,329.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7714.0,1.0,3.0,0.2,7.2,9.0,1.0,1.0,0.0,1.0,1.0,0.0,52879.0,0.0,14.6,5.8,33.4,
137,1st,81.55%,2540,Elementary School,FY18,468.0,0.0,0.6,0.0,0.0,0.0,0.0,2.3,77122.0,1.0,6.0,0.2,10.2,1.0,2.0,1.0,0.0,1.0,1.0,1.7,85697.0,1.0,24.7,1.8,35.1,
138,1st,86.31%,5590,Elementary School,FY18,815.0,0.0,1.4,0.0,0.0,0.0,0.0,8.0,87155.0,4.0,11.2,0.2,24.8,15.0,2.6,1.0,0.2,2.0,1.0,1.0,137759.0,0.0,31.4,6.8,61.0,
139,4th,68.75%,4320,K‐8 School,FY18,605.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,27338.0,0.0,4.2,0.2,5.8,18.0,0.6,1.0,1.0,1.0,1.0,3.0,80464.0,1.0,25.0,8.8,60.4,
140,6th,67.68%,8140,Middle School,FY18,598.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49517.0,0.0,0.0,0.2,1.2,2.0,1.0,1.0,0.0,1.0,1.0,7.0,80428.0,0.0,29.1,5.8,47.9,
141,3rd,83.17%,1230,K‐8 School,FY18,422.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,175453.0,1.0,6.2,0.2,14.4,3.0,2.0,1.0,0.0,1.0,1.0,2.0,145994.0,0.0,21.1,1.8,32.9,
142,7th,80.49%,5020,High School,FY18,1077.0,4.0,1.1,0.0,0.0,1.0,0.0,3.0,685437.0,0.0,7.0,0.2,16.3,21.0,4.1,1.6,1.2,3.0,2.0,4.0,146573.0,2.0,58.3,23.8,121.0,
143,7th,86.25%,5470,Elementary School,FY18,503.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,148503.0,5.0,4.2,0.2,11.3,5.0,1.0,1.0,0.0,1.0,1.0,5.0,82227.0,0.0,21.9,4.8,40.6,
144,9th,52.80%,6460,Middle Secondary,FY18,640.0,0.0,0.3,0.0,0.0,0.0,0.0,3.0,6040.0,0.0,0.7,1.0,5.0,30.0,1.7,1.2,0.0,2.0,1.0,0.0,152928.0,0.0,32.3,18.0,86.2,
145,1st,61.60%,2670,High School,FY18,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76184.0,0.0,0.8,0.2,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,92028.0,0.0,16.2,1.8,27.0,
146,4th,66.61%,6030,High School,FY18,656.0,0.0,1.5,0.0,0.0,0.0,0.0,5.0,48172.0,0.0,9.3,0.2,16.0,21.0,1.5,1.1,0.0,2.0,1.0,0.0,72615.0,0.0,28.0,15.8,70.4,
147,6th,78.65%,7330,Elementary School,FY18,780.0,0.0,1.1,0.0,0.0,1.0,0.0,0.0,1724.0,5.0,5.1,1.2,13.4,15.0,2.1,2.0,0.0,1.0,1.0,9.0,102685.0,0.0,29.7,10.8,70.6,
148,6th,70.15%,8270,Elementary School,FY18,601.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62160.0,7.0,5.2,0.2,14.4,19.0,1.0,1.0,0.0,1.0,1.0,0.0,60584.0,2.0,25.5,7.8,58.3,
149,5th,86.67%,4440,K‐8 School,FY18,448.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,239733.0,5.0,5.2,0.2,15.4,3.0,3.0,1.0,0.0,1.0,1.0,5.0,96124.0,0.0,24.0,2.8,40.8,
