,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
150,3rd,79.77%,1100,High School,FY18,439.0,0.0,0.8,0.0,0.0,1.0,0.0,2.0,123654.0,0.0,4.8,0.2,8.8,20.0,1.3,1.0,1.0,1.0,1.0,1.0,124258.0,0.0,17.2,11.8,55.2,
151,10th,53.69%,8390,K‐8 School,FY18,807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11480.0,3.0,5.2,0.2,8.4,13.0,1.0,1.0,0.0,2.0,1.0,7.0,132279.0,5.0,32.2,8.8,71.0,
152,1st,77.35%,2190,K‐8 School,FY18,577.0,0.0,1.6,0.0,0.0,0.0,0.0,3.0,18473.0,4.0,2.2,0.2,11.0,9.0,0.8,1.0,0.0,1.0,1.0,4.0,196959.0,0.0,28.0,3.8,48.6,
153,4th,48.16%,6380,K‐8 School,FY18,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15414.0,0.0,2.8,1.2,4.0,22.0,3.0,1.0,0.0,1.0,1.0,5.0,67764.0,0.0,22.2,4.8,60.0,
154,9th,77.47%,7530,Elementary School,FY18,474.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,14111.0,4.0,4.0,0.2,8.9,5.0,1.0,1.0,0.3,1.0,1.0,4.0,41519.0,0.0,18.6,2.8,34.7,
155,8th,62.95%,6260,K‐8 School,FY18,386.0,0.0,1.6,0.0,1.0,0.0,0.0,2.0,15981.0,3.0,2.0,0.0,9.6,9.0,0.4,1.0,0.0,1.0,1.0,2.0,54234.0,1.0,18.1,10.0,43.5,
156,3rd,83.21%,1350,K‐8 School,FY18,414.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,44887.0,6.0,3.2,1.2,13.4,8.0,0.0,1.0,0.0,1.0,1.0,0.0,226179.0,0.0,18.9,3.8,33.7,
157,4th,73.02%,4240,Elementary School,FY18,419.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,6007.0,0.0,2.0,1.2,4.7,11.0,0.5,1.0,0.0,1.0,1.0,5.0,108471.0,1.0,20.6,5.8,46.9,
158,10th,59.23%,8020,High School,FY18,3370.0,0.0,2.2,0.0,2.0,2.0,0.0,0.0,114593.0,0.0,7.4,0.2,13.8,16.0,8.2,3.0,0.0,5.0,4.0,17.0,479464.0,0.0,151.0,19.8,224.0,
159,7th,86.96%,8470,Middle Secondary,FY18,85.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,6237.0,0.0,0.0,0.0,0.7,0.0,0.4,0.3,1.0,1.0,1.0,1.0,183612.0,3.0,13.2,5.0,25.9,
160,5th,51.38%,5200,K‐8 School,FY18,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15521.0,0.0,4.0,0.2,4.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,34599.0,0.0,16.2,3.8,26.0,
161,2nd,73.48%,1010,High School,FY18,581.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,217915.0,0.0,4.2,0.2,16.4,14.0,1.0,1.0,2.4,1.0,1.0,0.0,317949.0,0.0,27.0,11.8,59.2,
162,2nd,69.54%,1440,K‐8 School,FY18,528.0,0.0,0.2,0.0,0.0,0.0,0.0,5.0,4940.0,0.0,3.0,0.2,8.4,26.0,0.8,1.0,1.0,2.0,1.0,0.0,99154.0,0.0,24.1,13.8,69.7,
163,10th,67.57%,8360,Elementary School,FY18,634.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,34210.0,5.0,6.2,0.2,11.8,4.0,1.6,1.0,0.0,1.0,1.0,7.0,78319.0,0.0,26.9,2.8,45.3,
164,4th,44.47%,2680,Middle Secondary,FY18,487.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,57550.0,0.0,1.0,0.2,1.8,5.0,0.5,1.0,1.0,1.0,0.0,2.0,139583.0,0.0,21.5,1.8,33.7,
165,9th,76.28%,7220,Elementary School,FY18,963.0,0.0,0.9,0.0,0.0,1.0,0.0,4.0,14743.0,1.0,12.2,0.2,19.4,13.0,1.9,2.1,0.0,2.0,1.0,4.0,204799.0,4.0,36.8,5.8,70.6,
166,3rd,70.17%,8560,High School,FY18,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37558.0,0.0,0.6,0.2,0.8,0.0,1.0,1.0,0.0,1.0,1.0,1.0,35178.0,1.0,14.4,1.8,22.2,
167,4th,84.88%,4350,K‐8 School,FY18,568.0,0.0,0.0,0.0,0.6,1.0,0.0,5.0,186853.0,0.0,5.2,1.2,13.0,12.0,2.0,1.0,1.4,1.0,1.0,6.0,169039.0,0.0,29.1,6.8,60.3,
168,5th,75.60%,5050,High School,FY18,308.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2493.0,0.0,4.0,0.2,5.2,0.0,0.1,1.0,0.0,1.0,1.0,4.0,126761.0,0.0,13.8,1.8,22.7,
169,1st,83.92%,5400,Elementary School,FY18,629.0,0.0,0.2,0.0,1.0,0.0,0.0,1.0,20744.0,0.0,7.2,0.2,9.6,7.0,1.2,1.0,0.0,1.0,1.0,3.0,55399.0,2.0,24.0,5.8,46.0,
170,1st,66.42%,2160,High School,FY18,676.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,91519.0,2.0,3.4,0.2,9.3,5.0,3.4,1.0,0.6,2.0,1.0,5.0,89138.0,0.0,35.1,6.8,59.8,
171,9th,63.15%,6310,K‐8 School,FY18,452.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19534.0,0.0,3.6,0.2,4.9,4.0,1.0,2.0,0.0,1.0,1.0,5.0,21365.0,0.0,19.4,4.8,38.1,
172,7th,87.05%,7440,Elementary School,FY18,550.0,0.0,2.3,0.0,1.0,0.0,0.0,8.0,5819.0,0.0,9.0,0.2,20.6,5.0,0.5,1.0,0.0,2.0,1.0,1.0,191859.0,4.0,28.1,5.8,48.4,
173,7th,73.61%,7010,High School,FY18,977.0,0.0,3.4,0.0,1.0,1.0,0.0,0.0,136637.0,0.0,8.2,1.2,14.8,23.0,2.2,1.4,0.2,2.0,2.0,12.0,174619.0,0.0,46.1,19.8,108.7,
174,7th,88.77%,5260,Elementary School,FY18,830.0,0.0,1.8,0.0,3.0,0.0,0.0,6.0,18435.0,6.0,9.8,1.2,27.9,3.0,0.2,1.0,0.0,2.0,2.0,3.0,198147.0,1.0,36.5,2.8,51.5,
175,3rd,85.17%,1420,K‐8 School,FY18,367.0,0.0,0.0,0.0,0.9,0.0,0.0,4.0,90978.0,0.0,5.6,0.2,10.7,27.0,1.0,2.0,0.1,1.0,1.0,0.0,92245.0,0.0,16.6,10.8,59.5,
176,5th,88.73%,4530,K‐8 School,FY18,289.0,0.0,1.5,0.0,0.5,0.0,0.0,2.8,44604.0,3.0,4.4,0.2,12.4,5.0,0.0,1.0,0.0,1.0,1.0,1.2,53439.0,0.0,15.0,2.8,27.0,
177,6th,64.70%,8300,K‐8 School,FY18,1657.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,41617.0,0.0,9.2,0.2,12.2,8.0,2.2,1.4,0.0,3.0,2.0,14.0,229375.0,0.0,66.5,9.8,106.9,
178,3rd,70.50%,1190,High School,FY18,413.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29742.0,0.0,0.0,0.2,1.2,0.0,0.0,1.0,0.0,1.0,1.0,4.0,43548.0,1.0,19.1,1.8,28.9,
179,8th,80.28%,7100,K‐8 School,FY18,426.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,203212.0,0.0,2.2,1.2,10.4,5.0,2.0,1.0,2.0,1.0,1.0,1.0,99709.0,1.0,27.0,3.8,44.8,
180,8th,71.86%,6200,K‐8 School,FY18,473.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16295.0,0.0,2.5,0.2,3.7,7.0,2.0,2.0,0.0,1.0,1.0,3.0,34889.0,0.0,20.0,4.8,40.8,
181,5th,76.79%,2010,High School,FY18,511.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,68687.0,0.0,6.6,0.2,13.8,14.0,0.0,1.0,1.0,2.0,1.0,0.0,164188.0,0.0,23.6,11.8,54.4,
182,5th,86.30%,4220,K‐8 School,FY18,495.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,82764.0,6.0,4.0,0.2,13.2,29.0,0.0,1.0,0.0,1.0,1.0,0.0,255449.0,2.0,22.1,8.8,64.9,
183,10th,35.38%,8040,High School,FY18,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13556.0,0.0,0.7,0.2,0.9,6.0,1.0,1.0,0.0,1.0,1.0,4.0,124818.0,0.0,27.4,2.8,44.2,
184,6th,59.29%,8410,Elementary School,FY18,636.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,78249.0,0.0,5.2,0.2,6.0,14.0,2.0,1.0,0.0,1.4,1.0,0.0,105419.0,0.0,26.3,9.8,55.5,
185,7th,86.49%,5490,Elementary School,FY18,490.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,63415.0,3.0,11.0,0.2,15.0,4.0,1.2,1.0,0.6,1.0,1.0,7.0,138505.0,0.0,21.3,5.8,42.9,
186,8th,72.41%,6400,K‐12 School,FY18,146.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,27335.0,0.0,1.4,3.2,9.6,23.0,2.0,11.4,1.0,1.0,1.0,0.0,66712.0,0.0,3.6,26.8,69.8,
187,2nd,78.87%,2240,K‐8 School,FY18,342.0,0.0,1.4,0.0,1.0,0.0,0.0,0.0,21897.0,2.0,4.0,0.2,8.6,9.0,0.6,1.0,0.0,1.0,1.0,4.0,89176.0,0.0,18.3,8.8,43.7,
188,8th,58.79%,6050,High School,FY18,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5626.0,1.0,2.2,0.2,4.1,1.0,2.0,1.2,0.0,2.0,1.0,2.4,90464.0,0.0,43.9,0.8,54.3,
189,9th,78.34%,7350,Elementary School,FY18,769.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,7833.0,0.0,10.2,0.2,10.9,9.0,1.5,1.0,0.0,2.0,1.0,8.8,83799.0,3.0,30.1,3.8,60.2,
190,6th,71.04%,8210,Elementary School,FY18,582.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19877.0,5.0,3.6,0.2,10.8,9.0,2.0,1.0,0.0,1.0,1.0,1.0,52939.0,0.0,23.8,5.8,44.6,
191,7th,78.55%,5370,Elementary School,FY18,312.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5913.0,0.0,3.2,0.2,3.9,2.0,0.6,1.0,0.0,1.0,1.0,5.0,51824.0,0.0,14.0,2.8,27.3,
192,8th,81.45%,6360,K‐8 School,FY18,530.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,1129331.0,10.0,5.5,0.2,26.7,14.0,1.0,1.0,1.0,1.0,1.0,0.0,223483.0,0.0,28.6,7.8,55.4,
193,1st,70.07%,2520,Elementary School,FY18,295.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2942.0,1.0,3.4,0.2,5.2,4.0,0.8,1.0,0.0,1.0,1.0,3.0,49379.0,1.0,12.8,1.8,26.4,
194,6th,86.25%,7430,Elementary School,FY18,746.0,1.0,1.1,0.0,0.0,0.0,0.0,4.0,54098.0,1.0,11.0,0.2,18.3,7.0,1.1,1.0,0.0,2.0,1.0,3.0,58739.0,1.0,28.7,6.8,51.6,
195,9th,67.71%,8120,Middle School,FY18,1334.0,0.0,0.6,0.0,2.0,1.0,0.0,1.6,10566.0,2.0,0.0,0.2,7.5,10.0,4.0,1.4,0.0,2.0,1.0,9.4,221219.0,0.0,68.7,8.8,105.2,
196,2nd,81.35%,1250,Elementary School,FY18,531.0,0.0,0.9,0.0,0.0,0.0,0.0,4.0,15253.0,2.0,4.0,0.2,11.1,3.0,0.3,1.0,0.0,1.0,1.0,2.0,120434.0,1.0,22.7,5.8,37.8,
197,7th,88.33%,5410,Elementary School,FY18,175.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,35865.0,3.0,6.4,0.2,12.5,0.0,1.0,1.0,0.0,1.0,1.0,0.2,55669.0,0.0,9.2,0.8,14.2,
198,1st,75.63%,2690,K‐8 School,FY18,447.0,0.0,0.4,0.0,0.0,0.0,0.0,2.0,30529.0,2.0,5.0,1.2,10.6,5.0,1.6,1.0,0.0,1.0,1.0,3.0,68619.0,1.0,23.2,2.8,39.6,
199,4th,61.51%,6480,Middle School,FY18,312.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,9620.0,0.0,0.0,0.2,1.1,4.0,0.1,1.0,0.0,1.0,1.0,1.0,43418.0,0.0,15.4,1.8,25.3,
200,2nd,82.66%,2320,Elementary School,FY18,540.0,0.0,1.1,0.0,0.6,0.0,0.0,2.0,32699.0,7.0,7.0,0.2,17.9,1.0,1.1,1.0,0.0,1.0,2.0,4.0,77180.0,2.0,22.2,1.8,36.1,
201,1st,79.49%,5210,K‐8 School,FY18,500.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,78531.0,0.0,8.6,1.2,10.2,14.0,1.6,1.0,0.0,1.0,1.0,5.0,44449.0,0.0,21.8,8.8,54.2,
202,10th,42.74%,8370,Elementary School,FY18,503.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,32583.0,2.0,4.2,0.2,8.6,11.0,1.2,1.0,0.0,1.0,1.0,1.0,98439.0,2.0,20.7,5.8,44.7,
203,8th,80.68%,5500,K‐8 School,FY18,804.0,0.0,1.3,0.0,0.9,0.0,0.0,6.0,16407.0,5.0,8.3,1.2,22.7,26.0,1.2,4.2,0.0,2.0,1.0,3.0,190859.0,0.0,33.7,13.8,84.9,
204,3rd,73.08%,1340,K‐8 School,FY18,556.0,0.0,0.2,0.0,1.0,1.0,0.0,5.0,36539.0,2.0,6.2,0.2,15.7,22.0,2.4,2.0,0.0,1.0,1.0,0.0,53839.0,0.0,25.3,7.8,61.4,
205,5th,61.74%,5150,High School,FY18,517.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3937.0,0.0,1.0,0.2,2.2,1.0,1.0,1.0,0.0,1.0,1.0,4.0,155988.0,0.0,24.9,0.8,34.7,
206,10th,52.46%,8030,High School,FY18,1290.0,0.0,2.0,0.0,1.5,3.0,0.0,5.0,25020.0,0.0,3.2,0.2,14.9,26.0,2.6,1.4,0.5,1.0,3.0,2.0,470106.0,2.0,59.7,18.8,117.0,
207,3rd,85.44%,8460,High School,FY18,89.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13410.0,0.0,0.0,0.0,3.0,0.0,1.0,0.5,2.0,1.0,1.0,0.0,219659.0,2.0,11.0,2.0,20.5,
208,8th,85.09%,6390,K‐8 School,FY18,537.0,0.0,2.0,0.0,1.0,0.6,0.0,3.0,38370.0,3.2,5.6,0.2,15.6,8.0,0.0,1.0,0.0,1.4,1.0,1.0,32636.0,2.8,24.5,2.8,42.5,
209,8th,39.44%,6270,K‐8 School,FY18,513.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,47689.0,3.0,3.8,0.2,7.2,3.0,0.8,1.0,0.0,1.0,1.0,4.0,85434.0,1.0,21.8,4.8,38.4,
210,10th,50.60%,8260,Elementary School,FY18,492.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,21603.0,0.0,4.5,0.2,5.5,26.0,0.2,1.0,0.0,1.0,1.0,3.0,63243.0,0.0,19.0,8.8,59.9,
211,1st,72.43%,5300,Elementary School,FY18,368.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4870.0,0.8,4.2,0.0,7.0,13.0,0.0,2.0,0.0,1.0,1.0,3.0,46216.0,1.2,15.2,9.0,45.4,
212,10th,65.08%,8380,K‐8 School,FY18,1138.0,0.0,1.7,0.0,0.0,0.0,0.0,8.0,56622.0,4.0,4.0,0.0,17.7,12.0,2.1,2.1,0.0,1.0,1.0,2.0,303279.0,4.0,46.3,11.0,81.5,
213,8th,85.17%,6470,Elementary School,FY18,675.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,20200.0,7.0,8.8,0.2,19.0,19.0,0.0,2.0,0.0,2.0,1.0,4.0,75604.0,1.0,24.5,6.8,60.3,
214,9th,81.93%,7320,Elementary School,FY18,239.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36626.0,3.0,4.4,0.0,8.4,7.0,1.0,1.0,0.0,1.0,1.0,2.0,40434.0,0.0,9.2,3.0,25.2,
0,2nd,83.44%,1380,Elementary School,FY19,,0.0,1.1,0.0,0.0,0.0,0.0,4.0,15166.0,3.0,9.6,0.0,17.7,9.0,0.1,1.0,1.0,1.0,1.0,3.0,97553.0,5.0,24.0,5.0,50.1,602.0
1,4th,79.34%,4370,Elementary School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38922.0,0.0,3.6,1.0,4.6,1.0,1.0,1.0,0.0,1.0,1.0,3.0,52021.0,0.0,13.1,1.0,22.1,234.0
2,8th,54.18%,5070,High School,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10173.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,77198.0,0.0,12.3,2.0,19.3,277.0
3,3rd,84.48%,1260,K‐8 School,FY19,,0.0,1.7,0.0,1.0,0.0,0.0,1.9,607.0,3.0,4.2,0.0,11.8,6.0,0.3,1.0,0.0,1.0,1.0,6.2,161556.0,3.0,20.9,4.0,43.3,496.0
4,7th,86.01%,5420,K‐8 School,FY19,,0.0,1.2,0.0,0.0,0.5,0.0,2.0,39959.0,2.0,4.6,0.0,10.3,2.0,0.2,1.0,1.0,1.5,1.0,4.0,72078.0,0.0,20.2,4.0,34.9,357.0
5,5th,19.97%,2140,Middle Secondary,FY19,,0.0,0.6,0.0,0.0,0.0,0.0,4.0,3309.0,0.0,0.6,0.0,5.2,2.0,3.2,1.2,0.8,2.0,2.0,0.0,129042.0,0.0,54.5,1.0,66.7,1201.0
6,9th,73.92%,6350,K‐8 School,FY19,,0.0,0.0,0.0,2.0,0.0,0.0,1.8,4730.0,4.0,3.0,0.0,10.8,13.0,1.0,1.0,0.0,1.0,1.0,1.2,90353.0,0.0,19.2,6.0,43.4,385.0
7,1st,61.82%,2510,K‐8 School,FY19,,0.0,1.3,0.0,0.0,0.0,0.0,0.0,13461.0,2.0,5.2,0.0,8.5,3.0,1.5,1.0,1.0,1.0,1.0,3.0,62003.0,2.0,26.7,3.0,43.2,610.0
8,9th,73.64%,7400,K‐8 School,FY19,,0.0,0.9,0.0,0.0,0.0,0.0,11.0,134838.0,0.0,8.2,0.0,20.1,6.0,2.9,1.0,0.0,2.0,1.0,2.0,258883.0,0.0,39.1,5.0,59.0,896.0
9,4th,69.79%,1030,High School,FY19,,0.0,0.4,0.0,1.0,1.0,0.0,4.0,77632.0,0.0,0.2,0.0,6.6,18.0,0.6,1.0,0.0,1.0,1.0,0.0,160972.0,0.0,25.4,11.0,58.0,583.0
10,3rd,81.08%,1460,K‐8 School,FY19,,0.0,0.5,0.0,1.0,0.0,0.0,7.0,29714.0,4.0,4.0,0.0,16.5,3.0,0.5,1.0,0.0,1.0,1.0,0.0,107408.0,2.0,20.2,4.0,32.7,467.0
11,3rd,74.72%,1580,Middle School,FY19,,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3055.0,0.4,1.0,0.0,1.8,6.0,1.1,0.5,0.0,1.0,1.0,3.0,58328.0,0.6,13.2,3.0,29.4,275.0
12,5th,89.54%,4570,K‐8 School,FY19,,0.0,1.4,0.0,0.0,0.0,0.0,5.0,18772.0,6.0,4.0,0.0,16.4,8.0,1.6,1.0,0.0,1.0,1.0,0.0,117221.0,0.0,22.4,7.0,42.0,370.0
13,6th,75.02%,8340,Elementary School,FY19,,0.0,3.3,0.0,0.0,1.0,0.0,2.0,24460.0,0.0,12.2,0.0,18.5,10.0,1.9,1.4,0.0,2.0,2.0,5.0,240459.0,0.0,51.2,9.0,82.5,1193.0
14,7th,81.37%,7200,Elementary School,FY19,,0.0,0.3,0.0,1.0,0.0,0.0,0.0,107166.0,0.0,15.4,0.0,16.7,5.0,1.5,2.0,0.0,1.0,2.0,6.0,120823.0,3.0,22.8,4.0,47.3,708.0
15,5th,87.07%,7510,K‐8 School,FY19,,0.0,0.2,0.0,0.0,1.0,0.0,5.0,13571.0,0.0,7.6,0.0,13.7,2.0,1.2,1.0,0.0,1.0,1.0,0.0,200894.0,0.0,32.1,2.0,40.4,721.0
16,3rd,46.89%,2050,Middle School,FY19,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,47898.0,0.0,2.0,0.0,2.3,1.0,0.7,1.0,1.0,1.0,1.0,3.0,76863.0,0.0,12.2,2.0,22.9,270.0
17,7th,87.96%,5530,Elementary School,FY19,,0.0,2.7,0.0,0.0,0.0,0.0,5.0,53753.0,1.0,11.8,0.0,20.5,12.0,1.2,1.0,0.7,1.0,1.0,1.0,49329.0,2.0,27.2,5.0,52.1,670.0
18,5th,79.44%,5160,Middle Secondary,FY19,,0.0,1.0,0.0,2.0,1.0,0.0,1.2,10367.0,0.0,3.0,0.0,8.2,11.0,2.2,1.0,0.0,2.0,1.0,0.8,356882.0,0.0,30.3,16.0,64.3,555.0
19,8th,85.69%,4380,Elementary School,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15866.0,2.7,6.4,0.0,11.1,4.0,1.0,1.0,0.0,1.0,1.0,7.0,43908.0,0.3,19.7,3.0,38.0,483.0
20,3rd,83.60%,1370,K‐8 School,FY19,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,222752.0,0.0,5.0,0.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,55378.0,1.0,26.2,3.0,45.2,503.0
21,3rd,85.16%,1290,K‐8 School,FY19,,0.0,0.6,0.0,0.0,1.0,0.0,4.0,9515.0,4.0,5.0,0.0,14.6,14.0,1.5,1.0,0.0,1.0,1.0,2.0,76418.0,0.0,20.5,8.0,49.0,484.0
22,5th,59.57%,5080,High School,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,2.4,3823.0,1.0,0.0,0.0,4.4,1.0,1.0,1.0,0.0,1.0,1.0,1.6,768166.0,0.0,23.2,1.0,30.8,504.0
23,5th,32.05%,2650,High School,FY19,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2285.0,0.0,1.2,0.0,2.1,6.0,2.1,1.0,0.0,1.0,1.0,0.0,24155.0,0.0,23.7,3.0,37.8,502.0
24,8th,64.13%,6440,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15405.0,2.0,5.4,0.0,8.4,6.0,1.0,2.0,0.0,1.0,1.0,3.0,56058.0,0.0,19.9,3.0,36.9,389.0
25,8th,41.79%,6010,High School,FY19,,0.0,0.6,0.0,0.0,1.0,0.0,0.0,19764.0,0.0,4.0,0.0,5.6,2.0,5.8,2.0,0.0,3.0,2.0,4.0,224035.0,0.0,100.0,1.0,119.8,2379.0
26,7th,80.32%,7310,Elementary School,FY19,,0.0,1.4,0.0,1.0,0.0,0.0,2.0,39592.0,4.0,4.0,0.0,12.4,10.0,1.6,1.0,0.0,2.0,1.0,7.0,28558.0,0.0,32.2,5.0,59.8,741.0
27,5th,42.81%,4030,Middle Secondary,FY19,,0.0,2.1,0.0,0.0,0.0,0.0,0.0,13158.0,0.0,0.4,0.0,2.5,2.0,1.1,1.0,0.8,1.0,1.0,5.0,231493.0,0.0,42.3,2.0,56.2,906.0
